time	watts	w_leak	w_dyn	w_periph	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7	temp_gpu	freq_little_cluster	freq_big_cluster	freq_gpu	freq_mem
1513655330.94	3.0	0.253360343875	0.492639656125	2.254	0.0500000000009	0.100000000002	0	0	0	0	0	0	47.0	50.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655331.14	3.004	0.252983440379	0.497016559621	2.254	0	0.0952380952397	0	0	0.0952380952397	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655331.34	3.004	0.252983440379	0.497016559621	2.254	0.100000000003	0.0526315789484	0	0	0	0	0.0476190476116	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655331.54	3.004	0.252983440379	0.497016559621	2.254	0.0952380952319	0.0999999999936	0	0	0	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655331.74	3.0	0.252983440379	0.493016559621	2.254	0.0500000000009	0.100000000002	0	0	0	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655331.94	3.0	0.253360343875	0.492639656125	2.254	0.0526315789484	0	0	0	0	0.100000000002	0.0476190476203	0	47.0	50.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655332.14	3.0	0.252983440379	0.493016559621	2.254	0	0.136363636366	0	0	0	0.0909090909113	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655332.34	3.012	0.252983440379	0.505016559621	2.254	0.0500000000009	0.0526315789484	0	0	0.0500000000009	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655332.54	3.004	0.252983440379	0.497016559621	2.254	0.0526315789393	0.0999999999936	0	0	0	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655332.74	2.996	0.252983440379	0.489016559621	2.254	0.0952380952397	0.100000000002	0	0	0	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655332.94	2.996	0.252983440379	0.489016559621	2.254	0.0500000000014	0.0526315789489	0	0	0.285714285713	0	0.0500000000009	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655333.14	3.012	0.252983440379	0.505016559621	2.254	0.0500000000009	0.136363636366	0	0	0	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655333.34	3.008	0.252983440379	0.501016559621	2.254	0.0500000000009	0.100000000002	0	0	0.0500000000014	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655333.54	3.008	0.253360343875	0.500639656125	2.254	0.0952380952406	0.0999999999936	0	0	0	0	0	0	47.0	50.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655333.74	3.008	0.252983440379	0.501016559621	2.254	0	0	0	0	0	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655333.94	2.996	0.253360343875	0.488639656125	2.254	0.0952380952397	0.100000000002	0	0	0.0526315789489	0.526315789474	0	0.0476190476199	47.0	50.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655334.14	3.053	0.252983440379	0.546016559621	2.254	0.0476190476199	0.100000000003	0	0	0	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
