[PARSEC] Benchmarks to run:  parsec.blackscholes

[PARSEC] [========== Running benchmark parsec.blackscholes [1] ==========]
[PARSEC] Deleting old run directory.
[PARSEC] Setting up run directory.
[PARSEC] Unpacking benchmark input 'native'.
in_10M.txt
[PARSEC] Running 'sudo perf stat -I 200 -aA -C 4-7 -d -v -x , taskset --all-tasks 0xf0 /home/odroid/PARSEC/parsec-3.0/bin/../pkgs/apps/blackscholes/inst/arm-linux.gcc-openmp/bin/blackscholes 4 in_10M.txt prices.txt':
[PARSEC] [---------- Beginning of output ----------]
PARSEC Benchmark Suite Version 3.0-beta-20150206
     0.404602366,CPU6,0,,page-faults,202964207,100.00,0.000,K/sec
     0.404602366,CPU7,0,,page-faults,202964000,100.00,0.000,K/sec
     0.404602366,CPU4,126030151,,cycles,178972083,88.18,0.624,GHz
     0.404602366,CPU5,319205072,,cycles,178957917,88.17,1.580,GHz
     0.404602366,CPU6,7976618,,cycles,178969291,88.18,0.039,GHz
     0.404602366,CPU7,6916299,,cycles,178951123,88.17,0.034,GHz
     0.404602366,CPU4,143906354,,instructions,175835581,86.64,0.55,insn per cycle
     0.404602366,CPU5,421973319,,instructions,175855917,86.65,1.62,insn per cycle
     0.404602366,CPU6,435306,,instructions,175856041,86.65,0.00,insn per cycle
     0.404602366,CPU7,305026,,instructions,175840458,86.64,0.00,insn per cycle
     0.404602366,CPU4,27089157,,branches,174972334,86.21,134.057,M/sec
     0.404602366,CPU5,76298883,,branches,174961665,86.20,377.583,M/sec
     0.404602366,CPU6,106535,,branches,174953958,86.20,0.527,M/sec
     0.404602366,CPU7,74110,,branches,174977667,86.21,0.367,M/sec
     0.404602366,CPU4,884342,,branch-misses,175038207,86.25,1.38,of all branches
     0.404602366,CPU5,2462682,,branch-misses,175041833,86.26,3.84,of all branches
     0.404602366,CPU6,4468,,branch-misses,175049167,86.26,0.01,of all branches
     0.404602366,CPU7,2533,,branch-misses,175039958,86.26,0.00,of all branches
     0.404602366,CPU4,29353422,,L1-dcache-loads,178925834,88.17,145.262,M/sec
     0.404602366,CPU5,76389018,,L1-dcache-loads,178927583,88.17,378.029,M/sec
     0.404602366,CPU6,107594,,L1-dcache-loads,178920583,88.17,0.532,M/sec
     0.404602366,CPU7,79325,,L1-dcache-loads,178934372,88.18,0.393,M/sec
     0.404602366,CPU4,145044,,L1-dcache-load-misses,178919916,88.18,0.22,of all L1-dcache hits
     0.404602366,CPU5,361922,,L1-dcache-load-misses,178911708,88.17,0.54,of all L1-dcache hits
     0.404602366,CPU6,2417,,L1-dcache-load-misses,178901167,88.17,0.00,of all L1-dcache hits
     0.404602366,CPU7,946,,L1-dcache-load-misses,178905250,88.17,0.00,of all L1-dcache hits
     0.404602366,CPU4,678610,,LLC-loads,178918623,88.18,3.358,M/sec
     0.404602366,CPU5,1536446,,LLC-loads,178912333,88.17,7.603,M/sec
     0.404602366,CPU6,24916,,LLC-loads,178924456,88.18,0.123,M/sec
     0.404602366,CPU7,10124,,LLC-loads,178904874,88.17,0.050,M/sec
     0.404602366,CPU4,26346,,LLC-load-misses,154891793,76.34,2.01,of all LL-cache hits
     0.404602366,CPU5,49263,,LLC-load-misses,154891333,76.34,3.76,of all LL-cache hits
     0.404602366,CPU6,2897,,LLC-load-misses,155011124,76.35,0.22,of all LL-cache hits
     0.404602366,CPU7,292,,LLC-load-misses,155013749,76.36,0.02,of all LL-cache hits
     0.607356524,CPU4,202.870791,,cpu-clock,202870499,100.00,,,,
     0.607356524,CPU5,202.871333,,cpu-clock,202871458,100.00,,,,
     0.607356524,CPU6,202.871457,,cpu-clock,202871582,100.00,,,,
     0.607356524,CPU7,202.871041,,cpu-clock,202870958,100.00,,,,
     0.607356524,CPU4,8,,context-switches,202871874,100.00,0.040,K/sec
     0.607356524,CPU5,220,,context-switches,202871999,100.00,0.001,M/sec
     0.607356524,CPU6,2,,context-switches,202872749,100.00,0.010,K/sec
     0.607356524,CPU7,0,,context-switches,202872707,100.00,0.000,K/sec
     0.607356524,CPU4,0,,cpu-migrations,202872332,100.00,0.000,K/sec
     0.607356524,CPU5,3,,cpu-migrations,202872207,100.00,0.015,K/sec
     0.607356524,CPU6,1,,cpu-migrations,202872207,100.00,0.005,K/sec
     0.607356524,CPU7,0,,cpu-migrations,202871916,100.00,0.000,K/sec
     0.607356524,CPU4,407,,page-faults,202872041,100.00,0.002,M/sec
     0.607356524,CPU5,0,,page-faults,202872291,100.00,0.000,K/sec
     0.607356524,CPU6,0,,page-faults,202872541,100.00,0.000,K/sec
     0.607356524,CPU7,0,,page-faults,202872665,100.00,0.000,K/sec
     0.607356524,CPU4,400824916,,cycles,178877875,88.17,1.981,GHz
     0.607356524,CPU5,33416844,,cycles,178881623,88.17,0.165,GHz
     0.607356524,CPU6,7502787,,cycles,178878749,88.17,0.037,GHz
     0.607356524,CPU7,6543384,,cycles,178880457,88.17,0.032,GHz
     0.607356524,CPU4,561456318,,instructions,178873124,88.17,1.83,insn per cycle
     0.607356524,CPU5,6912291,,instructions,178870124,88.17,0.02,insn per cycle
     0.607356524,CPU6,421310,,instructions,178874125,88.17,0.00,insn per cycle
     0.607356524,CPU7,324618,,instructions,178870542,88.17,0.00,insn per cycle
     0.607356524,CPU4,102557702,,branches,178876373,88.17,506.863,M/sec
     0.607356524,CPU5,1736253,,branches,178873251,88.17,8.581,M/sec
     0.607356524,CPU6,98351,,branches,178857290,88.16,0.486,M/sec
     0.607356524,CPU7,76233,,branches,178888873,88.18,0.377,M/sec
     0.607356524,CPU4,3337515,,branch-misses,178765083,88.12,4.34,of all branches
     0.607356524,CPU5,38394,,branch-misses,178774957,88.12,0.05,of all branches
     0.607356524,CPU6,3932,,branch-misses,178766874,88.12,0.01,of all branches
     0.607356524,CPU7,2591,,branch-misses,178769375,88.11,0.00,of all branches
