time,temp4,temp5,temp6,temp7,big_dyn,big_tot,little_dyn,little_tot,0_tot,1_tot,2_tot,3_tot,4_tot,5_tot,6_tot,7_tot
1513655896.61,54.0,57.0,57.0,55.0,-3.9997925463805716e-12,0.07734536673449842,0.003287304666845583,0.09432730835925936,0.02358182708981484,0.02358182708981484,0.02358182708981484,0.02358182708981484,0.019336341683624605,0.019336341683624605,0.019336341683624605,0.019336341683624605
1513655896.81,54.0,57.0,57.0,55.0,0.0043751333511848544,0.08172050008968305,0.012252681042989143,0.08590302110876208,0.03066526605943238,0.018412585016443234,0.018412585016443234,0.018412585016443234,0.020430125022420764,0.020430125022420764,0.020430125022420764,0.020430125022420764
1513655897.01,54.0,57.0,57.0,55.0,0.05854345108092569,0.1358888178194239,0.012836142044765323,0.08648648211053826,0.02185642800406488,0.027804884073586916,0.018412585016443234,0.018412585016443234,0.07787979276555024,0.01933634168462455,0.01933634168462455,0.01933634168462455
1513655897.21,54.0,57.0,57.0,55.0,0.0891693845667632,0.1665147513052614,0.006574609338179308,0.08022494940395225,0.021619711523020498,0.02178006784804528,0.018412585016443234,0.018412585016443234,0.10184182206655593,0.01933634168462455,0.026000245869456387,0.01933634168462455
1513655897.41,54.0,57.0,57.0,55.0,0.06908105297166041,0.14642641971015863,0.015653831761930873,0.08930417182770381,0.018412585016443234,0.0340664167783741,0.018412585016443234,0.018412585016443234,0.04645226901914927,0.061301467321760235,0.01933634168462455,0.01933634168462455
1513655897.61,54.0,57.0,57.0,55.0,-3.9997925463805716e-12,0.07734536673449842,0.003460320702180321,0.07711066076795325,0.019796713297223222,0.020488777437843567,0.018412585016443234,0.018412585016443234,0.019336341682491327,0.019336341682757982,0.01933634168462455,0.01933634168462455
1513655897.81,54.0,57.0,57.0,55.0,0.0043751333511848544,0.08172050008968305,0.009861914009401264,0.08351225407517421,0.028274499025844498,0.018412585016443234,0.018412585016443234,0.018412585016443234,0.020430125022420764,0.020430125022420764,0.020430125022420764,0.020430125022420764
1513655898.01,54.0,57.0,57.0,55.0,-3.9997925463805716e-12,0.07734536673449842,0.00954883737399044,0.08319917743976338,0.021595530807790357,0.024778476599086552,0.018412585016443234,0.018412585016443234,0.019336341680624758,0.01933634168462455,0.01933634168462455,0.01933634168462455
1513655898.22,54.0,57.0,57.0,55.0,0.018421614122895426,0.09576698086139362,0.003460320702213194,0.07711066076798613,0.01960384296310769,0.02068164777199197,0.018412585016443234,0.018412585016443234,0.023941745215348406,0.023941745215348406,0.023941745215348406,0.023941745215348406
1513655898.42,54.0,57.0,57.0,55.0,0.008333587339243227,0.08567895407774143,0.018784598116624276,0.09243493818239722,0.018412585016443234,0.03719718313306751,0.018412585016443234,0.018412585016443234,0.02766992902386778,0.01933634168462455,0.01933634168462455,0.01933634168462455
1513655898.62,54.0,57.0,57.0,55.0,0.05687673361228058,0.13422210035077878,0.003460320702180321,0.07711066076795325,0.020142745367587894,0.020142745367478895,0.018412585016443234,0.018412585016443234,0.04777470849088428,0.01933634168462455,0.047774708490645405,0.01933634168462455
1513655898.82,54.0,57.0,57.0,55.0,0.0043751333511848544,0.08172050008968305,0.009861914009368393,0.08351225407514133,0.018412585016443234,0.028274499025811625,0.018412585016443234,0.018412585016443234,0.023374926316480867,0.01933634168462455,0.01967289040395309,0.01933634168462455
1513655899.02,54.0,57.0,57.0,55.0,-3.9997925463805716e-12,0.07734536673449842,0.012836142045258417,0.08648648211103135,0.022691299031523667,0.026970013046621215,0.018412585016443234,0.018412585016443234,0.019336341680624758,0.01933634168462455,0.01933634168462455,0.01933634168462455
1513655899.22,54.0,57.0,57.0,55.0,0.008772197199384898,0.0861175639378831,0.0062615327027356095,0.07991187276850854,0.0214669912128947,0.02161971152272738,0.018412585016443234,0.018412585016443234,0.021529390984470775,0.021529390984470775,0.021529390984470775,0.021529390984470775
1513655899.42,54.0,57.0,57.0,55.0,0.031112059410099206,0.10845742614859741,0.006920641408802762,0.0805709814745757,0.018412585016443234,0.025333226425246,0.018412585016443234,0.018412585016443234,0.03567017287493983,0.03411456990440848,0.01933634168462455,0.01933634168462455
1513655899.62,54.0,57.0,57.0,55.0,0.11043897226291186,0.18778433900141006,0.012836142044706154,0.08648648211047909,0.024830656038765823,0.024830656038826796,0.018412585016443234,0.018412585016443234,0.036592431101052994,0.11251922453110796,0.01933634168462455,0.01933634168462455
1513655899.82,54.0,57.0,57.0,55.0,0.0684669991670543,0.14581236590555252,0.015539985713336675,0.08919032577910961,0.02599306585253114,0.026372089893692007,0.018412585016443234,0.018412585016443234,0.05550138326142967,0.04892592115656588,0.022048719802932402,0.01933634168462455
1513655900.02,54.0,57.0,57.0,55.0,-3.9997925463805716e-12,0.07734536673449842,0.003460320702180321,0.07711066076795325,0.02040892388299676,0.019876566852070027,0.018412585016443234,0.018412585016443234,0.019336341683091,0.019336341683772577,0.019336341683010284,0.01933634168462455
1513655900.22,54.0,57.0,57.0,55.0,0.050001524054128284,0.12734689079262648,0.006574609338113563,0.0802249494038865,0.018412585016443234,0.024987194354556798,0.018412585016443234,0.018412585016443234,0.03183672269815662,0.03183672269815662,0.03183672269815662,0.03183672269815662
1513655900.42,54.0,57.0,57.0,55.0,0.004166793666877945,0.08151216040537615,0.009861914008816126,0.08351225407458907,0.018412585016443234,0.02827449902525936,0.018412585016443234,0.018412585016443234,0.023503135351502495,0.01933634168462455,0.01933634168462455,0.01933634168462455
