time,temp4,temp5,temp6,temp7,big_dyn,big_tot,little_dyn,little_tot,0_tot,1_tot,2_tot,3_tot,4_tot,5_tot,6_tot,7_tot
1513655325.32,48.0,50.0,51.0,49.0,0.004166793667637518,0.06839663888509523,0.006261532702223865,0.08078508871568034,0.024892421705587985,0.01863088900336412,0.01863088900336412,0.01863088900336412,0.020224254972001948,0.016057461304364428,0.016057461304364428,0.016057461304364428
1513655325.52,48.0,50.0,51.0,49.0,0.004375133351226823,0.06860497856868454,0.012836142045260622,0.07312486151682092,0.015072179867890074,0.027908321913150694,0.015072179867890074,0.015072179867890074,0.016057461304364428,0.016057461304364428,0.02043259465559125,0.016057461304364428
1513655325.72,47.0,50.0,50.0,49.0,-3.999792546379524e-12,0.06223359032987025,0.006574609338114692,0.06609953864271023,0.018088358832541118,0.01824871515787134,0.014881232326148883,0.014881232326148883,0.015558397579467718,0.01555839758346751,0.01555839758346751,0.01555839758346751
1513655325.93,47.0,50.0,50.0,48.0,-3.999792546379524e-12,0.06223359032987025,0.009392299056339239,0.06853833468820267,0.014786508907965856,0.024178807964305094,0.014786508907965856,0.014786508907965856,0.015558397582467562,0.015558397582467562,0.015558397582467562,0.015558397582467562
1513655326.13,47.0,50.0,50.0,48.0,0.008750266706383436,0.07098385704025348,0.013149218680145534,0.07229525431200895,0.01916958180137531,0.02355265469470193,0.014786508907965856,0.014786508907965856,0.01774596426006337,0.01774596426006337,0.01774596426006337,0.01774596426006337
1513655326.33,47.0,50.0,50.0,48.0,-3.999792546379524e-12,0.06223359032987025,0.006747625373436311,0.06589366100529974,0.018160321594810527,0.018160321594557494,0.014786508907965856,0.014786508907965856,0.015558397579467718,0.01555839758346751,0.01555839758346751,0.01555839758346751
1513655326.53,47.0,49.0,50.0,48.0,-3.999792546379524e-12,0.06223359032987025,0.012836142045319795,0.07160527418112313,0.020945788132947653,0.021274919980273806,0.014692283033950832,0.014692283033950832,0.015558397582467562,0.015558397582467562,0.015558397582467562,0.015558397582467562
1513655326.73,47.0,49.0,50.0,48.0,-3.999792546379524e-12,0.06223359032987025,0.009861914009370087,0.06863104614517342,0.019502972794634692,0.01974350728263706,0.014692283033950832,0.014692283033950832,0.015558397582467562,0.015558397582467562,0.015558397582467562,0.015558397582467562
1513655326.93,47.0,50.0,50.0,48.0,0.004375133351183072,0.0666087236850531,0.0032873046668461478,0.06243334029870957,0.015882277130246442,0.016978045352531414,0.014786508907965856,0.014786508907965856,0.016652180921263277,0.016652180921263277,0.016652180921263277,0.016652180921263277
1513655327.13,47.0,50.0,50.0,48.0,0.004375133351183072,0.0666087236850531,0.009861914008804672,0.06900794964066809,0.014786508907965856,0.024648422916770527,0.014786508907965856,0.014786508907965856,0.019933530934650584,0.01555839758346751,0.01555839758346751,0.01555839758346751
1513655327.33,47.0,50.0,50.0,48.0,0.004166793667637518,0.06640038400150756,0.012836142044307306,0.07198217767617072,0.019065222922238625,0.02334393693800039,0.014786508907965856,0.014786508907965856,0.01972519125110503,0.01555839758346751,0.01555839758346751,0.01555839758346751
1513655327.53,47.0,50.0,50.0,48.0,-3.999792546379524e-12,0.06223359032987025,0.010034930044704854,0.06918096567656827,0.019681596734647012,0.019926351125989554,0.014786508907965856,0.014786508907965856,0.015558397579467718,0.01555839758346751,0.01555839758346751,0.01555839758346751
1513655327.73,47.0,49.0,50.0,48.0,-3.999792546379524e-12,0.06223359032987025,0.009861914009370087,0.06863104614517342,0.018092943037181005,0.021153537040090747,0.014692283033950832,0.014692283033950832,0.015558397582467562,0.015558397582467562,0.015558397582467562,0.015558397582467562
1513655327.93,47.0,49.0,50.0,48.0,-3.999792546379524e-12,0.06223359032987025,0.0032873046668461478,0.062056436802649474,0.01578805125623142,0.01688381947851639,0.014692283033950832,0.014692283033950832,0.015558397582467562,0.015558397582467562,0.015558397582467562,0.015558397582467562
1513655328.13,47.0,49.0,50.0,48.0,0.004375133351183072,0.0666087236850531,0.010034930044185462,0.06880406217998879,0.014692283033950832,0.024727213078136294,0.014692283033950832,0.014692283033950832,0.016652180921263277,0.016652180921263277,0.016652180921263277,0.016652180921263277
1513655328.33,47.0,49.0,50.0,48.0,-3.999792546379524e-12,0.06223359032987025,0.012836142044767528,0.07160527418057086,0.01911853891172686,0.02310216920094233,0.014692283033950832,0.014692283033950832,0.015558397579467718,0.01555839758346751,0.01555839758346751,0.01555839758346751
1513655328.53,47.0,49.0,50.0,48.0,-3.999792546379524e-12,0.06223359032987025,0.009861914009370087,0.06863104614517342,0.01950297279479621,0.019743507282475547,0.014692283033950832,0.014692283033950832,0.015558397582467562,0.015558397582467562,0.015558397582467562,0.015558397582467562
1513655328.73,47.0,49.0,50.0,48.0,0.022336207123662622,0.08456979745753267,0.009861914009370087,0.06863104614517342,0.017979587703736477,0.021266892373535275,0.014692283033950832,0.014692283033950832,0.021142449364383167,0.021142449364383167,0.021142449364383167,0.021142449364383167
1513655328.93,47.0,49.0,50.0,48.0,-3.999792546379524e-12,0.06223359032987025,-4.409247838680264e-12,0.05876913213139408,0.014692283032481082,0.014692283031011333,0.014692283033950832,0.014692283033950832,0.015558397581818111,0.01555839758346751,0.01555839758346751,0.015558397581117116
1513655329.13,47.0,49.0,50.0,48.0,0.004375133351226823,0.06660872368509686,0.012679603727068665,0.071448735862872,0.017862183965718,0.017862183965718,0.017862183965718,0.017862183965718,0.016652180921274216,0.016652180921274216,0.016652180921274216,0.016652180921274216
