time watts usage_c0 usage_c1 usage_c2 usage_c3 usage_c4 usage_c5 usage_c6 usage_c7 temp4 temp5 temp6 temp7 temp_gpu freq_little_cluster freq_big_cluster freq_gpu freq_mem volts_little_cluster volts_big_cluster volts_gpu volts_mem
1455217084.61 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 45.0 46.0 45.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217084.71 2.706 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217084.81 2.706 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217084.91 2.531 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217085.01 2.531 0.166666666667 0.0 0.0 0.0 0.166666666667 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217085.12 2.531 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217085.22 2.527 0.0 0.0 0.0 0.0 0.166666666667 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217085.32 2.527 0.0 0.0 0.0 0.0 0.166666666667 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217085.42 2.527 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217085.52 2.546 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217085.62 2.546 0.0 0.0 0.0 0.0 0.166666666667 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217085.72 2.531 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217085.82 2.531 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217085.92 2.531 0.0 0.0 0.0 0.0 0.833333333333 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217086.02 2.588 0.0 0.0 0.0 0.0 0.166666666667 0.0 0.0 0.0 44.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217086.12 2.588 0.0 0.0 0.0 0.0 0.166666666667 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217086.22 2.588 0.0 0.0 0.0 0.0 0.166666666667 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217086.32 2.553 0.0 0.0 0.0 0.0 0.285714285714 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217086.42 2.553 0.0 0.0 0.0 0.0 0.166666666667 0.0 0.2 0.0 43.0 45.0 46.0 45.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217086.52 2.538 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217086.62 2.538 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217086.72 2.538 0.0 0.0 0.0 0.166666666667 0.0 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217086.82 2.557 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 45.0 46.0 45.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217086.92 2.557 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217087.02 2.557 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217087.12 2.531 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217087.22 2.531 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217087.32 2.531 0.166666666667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217087.42 2.523 0.0 0.0 0.0 0.0 0.0 0.166666666667 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217087.52 2.523 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217087.62 2.607 0.0 0.0 0.0 0.0 0.2 0.166666666667 0.333333333333 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217087.72 2.607 0.0 0.0 0.0 0.0 0.166666666667 0.0 1.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217087.82 2.607 0.0 0.0 0.0 0.0 0.166666666667 0.0 1.0 0.0 43.0 45.0 46.0 44.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217087.92 2.679 0.0 0.0 0.0 0.0 0.166666666667 0.0 1.0 0.0 43.0 46.0 46.0 45.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217088.02 2.679 0.0 0.0 0.0 0.0 0.2 0.0 1.0 0.0 43.0 45.0 46.0 45.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217088.12 2.679 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 43.0 46.0 46.0 45.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217088.22 2.676 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 43.0 46.0 46.0 45.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217088.32 2.676 0.0 0.0 0.0 0.0 0.166666666667 0.0 1.0 0.0 43.0 46.0 47.0 45.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217088.42 2.676 0.0 0.0 0.0 0.0 0.166666666667 0.0 1.0 0.0 43.0 46.0 46.0 45.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217088.52 2.676 0.0 0.0 0.0 0.166666666667 0.0 0.0 1.0 0.0 43.0 46.0 47.0 45.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217088.62 2.676 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 43.0 46.0 46.0 45.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217088.73 2.683 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 43.0 46.0 46.0 45.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217088.83 2.683 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 43.0 46.0 46.0 45.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217088.93 2.683 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 43.0 46.0 47.0 45.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1455217089.03 2.653 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 43.0 46.0 46.0 45.0 43.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
