time	watts	w_leak	w_dyn	w_periph	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7	temp_gpu	freq_little_cluster	freq_big_cluster	freq_gpu	freq_mem
1513656312.07	3.496	0.352813372645	0.889186627355	2.254	0.421052631577	0.100000000003	0	0	0.42857142857	0.789473684206	0	0.0476190476199	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656312.27	3.496	0.352813372645	0.889186627355	2.254	0	0.0526315789484	0	0	0	0.0500000000014	0	0	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656312.47	3.08	0.352813372645	0.473186627355	2.254	0.0526315789484	0.142857142852	0	0	0.0500000000009	0	0	0	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656312.68	3.038	0.352316918162	0.431683081838	2.254	0.0952380952397	0.100000000002	0	0	0	0	0	0	57.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656312.88	3.05	0.352316918162	0.443683081838	2.254	0	0.100000000002	0	0	0.0500000000009	0	0	0	57.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656313.08	3.05	0.352813372645	0.443186627355	2.254	0.0476190476203	0.0952380952397	0	0	0.150000000003	0.210526315786	0	0	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656313.28	3.111	0.352813372645	0.504186627355	2.254	0.100000000002	0.0526315789398	0	0	0.578947368419	0.52380952381	0.100000000002	0	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656313.48	3.137	0.352813372645	0.530186627355	2.254	0.0952380952397	0.105263157897	0	0	0.150000000003	0.157894736845	0.0476190476199	0	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656313.68	3.092	0.352813372645	0.485186627355	2.254	0.0500000000009	0.0952380952397	0	0	0.57142857143	0.0500000000009	0.0500000000009	0	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656313.88	3.092	0.352316918162	0.485683081838	2.254	0.0526315789484	0.0526315789484	0	0	0.0500000000009	0	0	0	57.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656314.08	3.042	0.352316918162	0.435683081838	2.254	0	0.0526315789484	0	0	0	0	0	0	57.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656314.28	3.034	0.352316918162	0.427683081838	2.254	0.181818181814	0.142857142852	0	0	0	0	0	0	57.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
