time watts usage_c0 usage_c1 usage_c2 usage_c3 usage_c4 usage_c5 usage_c6 usage_c7 temp4 temp5 temp6 temp7 temp_gpu freq_little_cluster freq_big_cluster freq_gpu freq_mem volts_little_cluster volts_big_cluster volts_gpu volts_mem
1505202524.53 0 0.166666666667 0.0 0.0 0.0 0.0 0.166666666667 0.0 0.0 46.0 48.0 48.0 47.0 45.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1505202524.63 2.5 0.0 0.0 0.0 0.0 0.0 0.2 0.142857142857 0.0 46.0 48.0 48.0 47.0 45.0 200000000.0 200000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1505202524.73 2.603 0.166666666667 0.0 0.0 0.0 0.0 0.166666666667 0.142857142857 0.0 46.0 48.0 48.0 47.0 45.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1505202524.83 2.603 0.166666666667 0.0 0.0 0.0 0.166666666667 0.0 0.166666666667 0.0 46.0 48.0 48.0 47.0 45.0 200000000.0 400000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1505202524.93 2.584 0.166666666667 0.0 0.0 0.0 0.0 0.0 0.0 0.0 46.0 48.0 48.0 47.0 45.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1505202525.03 2.584 0.0 0.0 0.0 0.0 0.166666666667 0.0 0.0 0.0 46.0 48.0 48.0 47.0 45.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1505202525.13 2.584 0.166666666667 0.0 0.0 0.0 0.0 0.166666666667 0.142857142857 0.0 46.0 48.0 48.0 47.0 45.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1505202525.23 2.557 0.333333333333 0.0 0.0 0.0 0.0 0.166666666667 0.0 0.0 46.0 48.0 48.0 47.0 45.0 200000000.0 300000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1505202525.33 2.557 0.0 0.0 0.0 0.0 0.2 0.0 0.0 0.0 47.0 48.0 49.0 47.0 45.0 200000000.0 500000000.0 600000000.0 825000000.0 0.9 0.9 1.0 1.0
1505202525.43 2.557 0.166666666667 0.0 0.0 0.0 0.0 0.2 0.0 0.0 46.0 48.0 49.0 47.0 45.0 200000000.0 400000000.0 600000000.0 825000000.0 0.9 1.1875 1.0 1.0
