time	watts	w_leak	w_dyn	w_periph	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7	temp_gpu	freq_little_cluster	freq_big_cluster	freq_gpu	freq_mem	volts_little_cluster	volts_big_cluster	volts_gpu	volts_mem
1512983099.22	0	0.311781565641	-2.56578156564	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	51.0	51.0	49.0	47.0	1400000000.0	2000000000.0	600000000.0	825000000.0	1.25	1.3	1.0	1.0	
1512983099.33	3.809	0.312321796193	1.24267820381	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	51.0	51.0	49.0	47.0	1400000000.0	2000000000.0	600000000.0	825000000.0	1.25	1.3	1.0	1.0	
1512983099.43	3.809	0.317557297012	1.23744270299	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	52.0	51.0	49.0	47.0	1400000000.0	2000000000.0	600000000.0	825000000.0	1.25	1.3	1.0	1.0	
1512983099.53	3.966	0.311781565641	1.40021843436	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	51.0	51.0	49.0	47.0	1400000000.0	2000000000.0	600000000.0	825000000.0	1.25	1.3	1.0	1.0	
1512983099.63	3.966	0.311781565641	1.40021843436	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	51.0	51.0	49.0	47.0	1400000000.0	2000000000.0	600000000.0	825000000.0	1.25	1.3	1.0	1.0	
1512983099.73	3.87	0.311781565641	1.30421843436	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	51.0	51.0	49.0	47.0	1400000000.0	2000000000.0	600000000.0	825000000.0	1.25	1.3	1.0	1.0	
1512983099.83	3.87	0.311781565641	1.30421843436	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	51.0	51.0	49.0	47.0	1400000000.0	2000000000.0	600000000.0	825000000.0	1.25	1.3	1.0	1.0	
1512983099.93	3.87	0.311781565641	1.30421843436	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	51.0	51.0	49.0	47.0	1400000000.0	2000000000.0	600000000.0	825000000.0	1.25	1.3	1.0	1.0	
1512983100.03	3.825	0.311781565641	1.25921843436	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	51.0	51.0	49.0	47.0	1400000000.0	2000000000.0	600000000.0	825000000.0	1.25	1.3	1.0	1.0	
1512983100.13	3.825	0.311781565641	1.25921843436	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	51.0	51.0	49.0	47.0	1400000000.0	2000000000.0	600000000.0	825000000.0	1.25	1.3	1.0	1.0	
1512983100.23	3.825	0.311781565641	1.25921843436	2.254	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	49.0	51.0	51.0	49.0	47.0	1400000000.0	2000000000.0	600000000.0	825000000.0	1.25	1.3	1.0	1.0	
