time v a w
512778280.42 V:4.980 A:0.385 W:1.920
512778280.62 V:4.981 A:0.385 W:1.920
512778280.82 V:4.981 A:0.386 W:1.924
512778281.02 V:4.981 A:0.386 W:1.924
512778281.22 V:4.981 A:0.386 W:1.924
512778281.42 V:4.981 A:0.386 W:1.924
512778281.62 V:4.981 A:0.386 W:1.924
512778281.82 V:4.981 A:0.386 W:1.924
512778282.02 V:4.981 A:0.386 W:1.924
512778282.22 V:4.980 A:0.386 W:1.924
512778282.42 V:4.980 A:0.386 W:1.924
512778282.62 V:4.980 A:0.385 W:1.920
512778282.82 V:4.980 A:0.386 W:1.920
512778283.02 V:4.981 A:0.386 W:1.924
512778283.22 V:4.981 A:0.386 W:1.924
512778283.42 V:4.981 A:0.386 W:1.924
512778283.62 V:4.980 A:0.386 W:1.924
512778283.82 V:4.981 A:0.386 W:1.924
512778284.02 V:4.981 A:0.386 W:1.924
512778284.22 V:4.981 A:0.387 W:1.928
512778284.42 V:4.980 A:0.386 W:1.924
512778284.62 V:4.981 A:0.386 W:1.924
512778284.82 V:4.981 A:0.386 W:1.924
512778285.02 V:4.981 A:0.386 W:1.924
512778285.22 V:4.981 A:0.386 W:1.920
512778285.42 V:4.981 A:0.386 W:1.920
512778285.62 V:4.981 A:0.386 W:1.924
512778285.82 V:4.983 A:0.386 W:1.924
512778286.02 V:4.981 A:0.386 W:1.924
512778286.22 V:4.981 A:0.386 W:1.924
512778286.42 V:4.981 A:0.386 W:1.924
512778286.62 V:4.981 A:0.386 W:1.924
512778286.82 V:4.981 A:0.386 W:1.924
512778287.02 V:4.981 A:0.386 W:1.924
512778287.22 V:4.980 A:0.386 W:1.924
512778287.42 V:4.981 A:0.386 W:1.924
512778287.62 V:4.980 A:0.385 W:1.920
512778287.82 V:4.980 A:0.385 W:1.920
512778288.02 V:4.981 A:0.386 W:1.924
512778288.22 V:4.981 A:0.386 W:1.924
512778288.42 V:4.981 A:0.386 W:1.924
512778288.62 V:4.980 A:0.386 W:1.924
512778288.82 V:4.981 A:0.386 W:1.924
512778289.02 V:4.981 A:0.386 W:1.924
512778289.22 V:4.981 A:0.386 W:1.924
512778289.42 V:4.980 A:0.386 W:1.924
512778289.62 V:4.980 A:0.386 W:1.924
512778289.82 V:4.980 A:0.386 W:1.928
512778290.02 V:4.980 A:0.386 W:1.928
512778290.22 V:4.981 A:0.386 W:1.924
512778290.42 V:4.981 A:0.386 W:1.924
512778290.62 V:4.983 A:0.389 W:1.943
512778290.82 V:4.983 A:0.389 W:1.943
512778291.02 V:4.987 A:0.435 W:2.172
512778291.22 V:4.986 A:0.436 W:2.172
512778291.42 V:4.987 A:0.435 W:2.172
512778291.62 V:4.987 A:0.435 W:2.172
512778291.82 V:4.986 A:0.436 W:2.172
512778292.02 V:4.986 A:0.436 W:2.172
512778292.22 V:4.986 A:0.436 W:2.172
512778292.42 V:4.987 A:0.436 W:2.172
512778292.62 V:4.986 A:0.435 W:2.172
512778292.82 V:4.986 A:0.435 W:2.172
512778293.02 V:4.986 A:0.435 W:2.172
512778293.22 V:4.986 A:0.436 W:2.172
512778293.42 V:4.986 A:0.436 W:2.172
512778293.62 V:4.987 A:0.449 W:2.244
512778293.82 V:4.987 A:0.449 W:2.244
512778294.02 V:4.997 A:0.535 W:2.676
512778294.22 V:4.996 A:0.527 W:2.634
512778294.42 V:4.994 A:0.502 W:2.508
512778294.62 V:4.994 A:0.502 W:2.508
512778294.82 V:4.994 A:0.503 W:2.512
512778295.02 V:4.984 A:0.414 W:2.065
512778295.22 V:4.984 A:0.414 W:2.065
512778295.42 V:4.985 A:0.413 W:2.061
512778295.62 V:4.985 A:0.414 W:2.065
512778295.82 V:4.983 A:0.401 W:1.996
512778296.02 V:4.983 A:0.401 W:1.996
512778296.22 V:4.983 A:0.403 W:2.011
512778296.42 V:4.983 A:0.401 W:2.000
512778296.62 V:4.983 A:0.400 W:1.992
512778296.82 V:4.983 A:0.400 W:1.992
512778297.02 V:4.983 A:0.402 W:2.004
512778297.22 V:4.991 A:0.475 W:2.374
512778297.42 V:4.989 A:0.459 W:2.290
512778297.62 V:4.989 A:0.459 W:2.290
512778297.82 V:4.985 A:0.431 W:2.149
512778298.02 V:4.986 A:0.449 W:2.241
512778298.22 V:4.986 A:0.449 W:2.241
512778298.42 V:4.987 A:0.451 W:2.252
512778298.62 V:4.986 A:0.436 W:2.176
512778298.82 V:4.986 A:0.438 W:2.187
512778299.02 V:4.986 A:0.438 W:2.187
512778299.22 V:4.985 A:0.431 W:2.153
512778299.42 V:4.986 A:0.437 W:2.179
512778299.62 V:4.989 A:0.456 W:2.279
512778299.82 V:4.989 A:0.456 W:2.279
512778300.02 V:4.986 A:0.432 W:2.153
512778300.22 V:4.986 A:0.442 W:2.206
512778300.42 V:4.986 A:0.429 W:2.137
512778300.62 V:4.986 A:0.429 W:2.137
512778300.82 V:4.987 A:0.452 W:2.260
512778301.02 V:4.983 A:0.414 W:2.065
512778301.22 V:4.984 A:0.399 W:1.989
512778301.42 V:4.984 A:0.399 W:1.989
512778301.62 V:4.983 A:0.399 W:1.989
512778301.82 V:4.981 A:0.398 W:1.985
512778302.02 V:4.981 A:0.398 W:1.985
