time v a w
512779409.12 V:4.991 A:0.481 W:2.401
512779409.32 V:4.991 A:0.482 W:2.405
512779409.52 V:4.991 A:0.481 W:2.405
512779409.72 V:4.991 A:0.481 W:2.405
512779409.92 V:4.991 A:0.481 W:2.405
512779410.12 V:4.991 A:0.481 W:2.405
512779410.32 V:4.991 A:0.482 W:2.408
512779410.52 V:4.991 A:0.482 W:2.408
512779410.72 V:4.992 A:0.482 W:2.405
512779410.92 V:4.992 A:0.498 W:2.485
512779411.12 V:4.992 A:0.498 W:2.485
512779411.32 V:4.994 A:0.508 W:2.538
512779411.52 V:4.996 A:0.531 W:2.653
512779411.72 V:4.995 A:0.511 W:2.553
512779411.92 V:4.995 A:0.511 W:2.553
512779412.12 V:4.994 A:0.500 W:2.500
512779412.32 V:4.992 A:0.481 W:2.401
512779412.52 V:4.991 A:0.480 W:2.401
512779412.72 V:4.991 A:0.480 W:2.401
512779412.92 V:4.991 A:0.480 W:2.397
512779413.12 V:4.990 A:0.480 W:2.397
512779413.32 V:4.991 A:0.481 W:2.401
512779413.52 V:4.991 A:0.481 W:2.401
512779413.72 V:4.991 A:0.480 W:2.397
512779413.92 V:4.994 A:0.481 W:2.405
512779414.12 V:4.994 A:0.481 W:2.405
512779414.32 V:4.991 A:0.480 W:2.397
512779414.52 V:4.991 A:0.480 W:2.401
512779414.72 V:4.991 A:0.480 W:2.401
512779414.92 V:4.991 A:0.480 W:2.401
512779415.12 V:4.991 A:0.480 W:2.401
512779415.32 V:4.991 A:0.481 W:2.401
512779415.52 V:4.992 A:0.480 W:2.401
512779415.72 V:4.992 A:0.480 W:2.401
512779415.92 V:4.991 A:0.480 W:2.401
512779416.12 V:4.994 A:0.481 W:2.401
512779416.32 V:4.992 A:0.480 W:2.401
512779416.52 V:4.992 A:0.480 W:2.401
512779416.72 V:4.991 A:0.481 W:2.401
512779416.92 V:4.992 A:0.480 W:2.397
512779417.12 V:4.992 A:0.486 W:2.428
512779417.32 V:4.992 A:0.486 W:2.428
512779417.52 V:4.991 A:0.481 W:2.401
512779417.72 V:4.991 A:0.482 W:2.408
512779417.92 V:4.991 A:0.482 W:2.408
512779418.12 V:4.992 A:0.483 W:2.412
512779418.32 V:4.991 A:0.481 W:2.401
512779418.52 V:4.991 A:0.481 W:2.401
512779418.72 V:4.991 A:0.481 W:2.401
512779418.92 V:4.991 A:0.481 W:2.401
512779419.12 V:4.991 A:0.481 W:2.401
512779419.32 V:4.991 A:0.482 W:2.405
512779419.52 V:4.991 A:0.482 W:2.405
512779419.72 V:4.991 A:0.481 W:2.401
512779419.92 V:4.992 A:0.481 W:2.401
512779420.12 V:4.992 A:0.486 W:2.431
512779420.32 V:4.992 A:0.486 W:2.431
512779420.52 V:4.992 A:0.485 W:2.424
512779420.72 V:4.991 A:0.484 W:2.416
512779420.93 V:4.995 A:0.485 W:2.424
512779421.75 V:4.995 A:0.485 W:2.424
512779421.87 V:4.992 A:0.484 W:2.416
512779422.04 V:4.992 A:0.484 W:2.416
512779422.16 V:4.996 A:0.533 W:2.664
512779422.82 V:4.996 A:0.533 W:2.664
512779423.03 V:4.991 A:0.489 W:2.443
512779423.67 V:4.991 A:0.488 W:2.439
512779424.48 V:4.991 A:0.488 W:2.439
512779424.59 V:4.991 A:0.481 W:2.401
512779424.71 V:4.991 A:0.481 W:2.401
512779424.83 V:4.991 A:0.481 W:2.401
512779424.95 V:4.991 A:0.481 W:2.401
512779425.07 V:4.991 A:0.481 W:2.401
512779425.19 V:4.992 A:0.490 W:2.447
512779425.31 V:4.992 A:0.490 W:2.447
512779425.44 V:4.992 A:0.482 W:2.405
512779425.56 V:4.992 A:0.482 W:2.405
512779425.68 V:4.992 A:0.481 W:2.405
512779425.8 V:4.992 A:0.481 W:2.405
512779425.92 V:4.991 A:0.482 W:2.408
512779426.04 V:4.991 A:0.482 W:2.408
512779426.16 V:4.991 A:0.482 W:2.408
512779426.28 V:4.991 A:0.481 W:2.405
512779426.4 V:4.991 A:0.481 W:2.405
512779426.52 V:4.992 A:0.481 W:2.405
512779426.64 V:4.992 A:0.481 W:2.405
512779426.76 V:4.992 A:0.481 W:2.405
512779426.88 V:4.992 A:0.481 W:2.405
512779427.0 V:4.992 A:0.481 W:2.405
512779427.12 V:4.992 A:0.481 W:2.405
512779427.24 V:4.992 A:0.481 W:2.405
512779427.36 V:4.991 A:0.481 W:2.401
512779427.52 V:4.991 A:0.481 W:2.405
512779427.72 V:4.991 A:0.481 W:2.405
512779427.92 V:4.991 A:0.481 W:2.401
512779428.12 V:4.992 A:0.481 W:2.405
512779428.32 V:4.991 A:0.481 W:2.401
512779428.52 V:4.991 A:0.481 W:2.401
512779428.72 V:4.991 A:0.481 W:2.405
512779428.92 V:4.990 A:0.481 W:2.401
512779429.12 V:4.991 A:0.481 W:2.401
512779429.32 V:4.991 A:0.481 W:2.401
512779429.52 V:4.990 A:0.481 W:2.401
512779429.72 V:4.991 A:0.481 W:2.401
512779429.92 V:4.991 A:0.483 W:2.408
512779430.12 V:4.991 A:0.483 W:2.408
512779430.32 V:4.991 A:0.483 W:2.412
512779430.52 V:4.991 A:0.482 W:2.408
512779430.72 V:4.991 A:0.482 W:2.408
512779430.92 V:4.991 A:0.483 W:2.412
512779431.12 V:4.991 A:0.482 W:2.408
512779431.32 V:4.991 A:0.482 W:2.405
512779431.52 V:4.991 A:0.482 W:2.405
512779431.72 V:4.991 A:0.482 W:2.408
512779431.92 V:4.991 A:0.482 W:2.408
512779432.12 V:4.991 A:0.482 W:2.405
512779432.32 V:4.991 A:0.482 W:2.405
512779432.52 V:4.990 A:0.482 W:2.408
512779432.72 V:4.991 A:0.482 W:2.408
512779432.92 V:4.992 A:0.482 W:2.408
512779433.12 V:4.992 A:0.482 W:2.408
512779433.32 V:4.992 A:0.494 W:2.470
512779433.52 V:4.992 A:0.483 W:2.412
512779433.72 V:4.992 A:0.482 W:2.408
512779433.92 V:4.992 A:0.482 W:2.408
512779434.12 V:4.991 A:0.484 W:2.416
512779434.32 V:4.991 A:0.481 W:2.405
512779434.52 V:4.991 A:0.481 W:2.405
512779434.72 V:4.991 A:0.481 W:2.405
512779434.92 V:4.991 A:0.482 W:2.405
512779435.12 V:4.991 A:0.481 W:2.401
512779435.32 V:4.991 A:0.481 W:2.401
512779435.52 V:4.991 A:0.481 W:2.405
512779435.72 V:4.991 A:0.481 W:2.405
512779435.92 V:4.991 A:0.481 W:2.405
512779436.12 V:4.991 A:0.481 W:2.405
512779436.32 V:4.991 A:0.481 W:2.401
512779436.52 V:4.990 A:0.481 W:2.401
512779436.72 V:4.991 A:0.481 W:2.401
512779436.92 V:4.991 A:0.481 W:2.401
512779437.12 V:4.992 A:0.481 W:2.401
512779437.32 V:4.991 A:0.481 W:2.405
512779437.52 V:4.991 A:0.481 W:2.405
512779437.72 V:4.992 A:0.481 W:2.405
512779437.92 V:4.992 A:0.481 W:2.405
512779438.12 V:4.991 A:0.482 W:2.405
512779438.32 V:4.991 A:0.482 W:2.405
512779438.52 V:4.992 A:0.481 W:2.405
512779438.72 V:4.991 A:0.481 W:2.401
512779438.92 V:4.991 A:0.481 W:2.405
512779439.12 V:4.991 A:0.481 W:2.405
512779439.32 V:4.991 A:0.482 W:2.405
512779439.52 V:4.992 A:0.480 W:2.401
512779439.72 V:4.991 A:0.481 W:2.401
512779439.92 V:4.991 A:0.481 W:2.401
512779440.12 V:4.992 A:0.481 W:2.401
512779440.32 V:4.992 A:0.483 W:2.412
512779440.52 V:4.992 A:0.483 W:2.412
512779440.72 V:4.990 A:0.481 W:2.401
512779440.92 V:4.991 A:0.481 W:2.401
512779441.12 V:4.992 A:0.481 W:2.405
512779441.32 V:4.992 A:0.481 W:2.405
512779441.52 V:4.991 A:0.481 W:2.401
512779441.72 V:4.991 A:0.481 W:2.401
512779441.92 V:4.991 A:0.481 W:2.401
512779442.12 V:4.991 A:0.481 W:2.401
512779442.32 V:4.992 A:0.483 W:2.412
512779442.52 V:4.992 A:0.482 W:2.408
512779442.72 V:4.991 A:0.482 W:2.408
512779442.92 V:4.991 A:0.482 W:2.408
512779443.12 V:4.992 A:0.483 W:2.412
512779443.32 V:4.991 A:0.483 W:2.412
512779443.52 V:4.992 A:0.486 W:2.428
512779443.72 V:4.992 A:0.486 W:2.428
512779443.92 V:4.991 A:0.482 W:2.408
512779444.12 V:4.991 A:0.482 W:2.408
512779444.32 V:4.991 A:0.482 W:2.408
512779444.52 V:4.992 A:0.482 W:2.408
512779444.72 V:4.991 A:0.482 W:2.408
512779444.92 V:4.991 A:0.482 W:2.408
512779445.12 V:4.991 A:0.482 W:2.408
512779445.32 V:4.991 A:0.482 W:2.408
512779445.52 V:4.991 A:0.482 W:2.408
512779445.72 V:4.991 A:0.482 W:2.408
512779445.92 V:4.991 A:0.482 W:2.408
512779446.12 V:4.991 A:0.483 W:2.408
512779446.32 V:4.991 A:0.482 W:2.405
512779446.52 V:4.991 A:0.482 W:2.408
512779446.72 V:4.991 A:0.482 W:2.408
512779446.92 V:4.992 A:0.482 W:2.408
512779447.12 V:4.991 A:0.482 W:2.408
512779447.32 V:4.991 A:0.482 W:2.408
512779447.52 V:4.991 A:0.482 W:2.408
512779447.72 V:4.992 A:0.482 W:2.408
512779447.92 V:4.991 A:0.483 W:2.408
512779448.12 V:4.991 A:0.483 W:2.408
512779448.32 V:4.991 A:0.482 W:2.405
512779448.52 V:4.992 A:0.481 W:2.401
512779448.72 V:4.991 A:0.481 W:2.401
512779448.92 V:4.991 A:0.481 W:2.401
512779449.12 V:4.991 A:0.481 W:2.401
512779449.32 V:4.992 A:0.481 W:2.401
512779449.52 V:4.991 A:0.481 W:2.401
512779449.72 V:4.991 A:0.481 W:2.401
512779449.92 V:4.991 A:0.481 W:2.405
512779450.12 V:4.991 A:0.482 W:2.408
