time,temp4,temp5,temp6,temp7,big_dyn,big_tot,little_dyn,little_tot,4_tot,5_tot,6_tot,7_tot
1513655896.61,54.0,57.0,57.0,55.0,-3.71237683490951e-11,0.07734536670137444,0.0003842646804669454,0.09142426837288072,0.01933634167534361,0.01933634167534361,0.01933634167534361,0.01933634167534361
1513655896.81,54.0,57.0,57.0,55.0,0.003156395259644709,0.08050176199814292,0.0014322592758838461,0.07508259934165679,0.02012544049953573,0.02012544049953573,0.02012544049953573,0.02012544049953573
1513655897.01,54.0,57.0,57.0,55.0,0.042235575123591655,0.11958094186208987,0.0015004620987039837,0.07515080216447692,0.06157191680821621,0.01933634168462455,0.01933634168462455,0.01933634168462455
1513655897.21,54.0,57.0,57.0,55.0,0.06433034220064272,0.14167570893914094,0.0007685293654626209,0.07441886943123556,0.07885907824028768,0.01933634168462455,0.024143947329604145,0.01933634168462455
1513655897.41,54.0,57.0,57.0,55.0,0.04983782043749019,0.1271831871759884,0.0018298318285692979,0.07548017189434224,0.03889885064129127,0.04961165316544802,0.01933634168462455,0.01933634168462455
1513655897.61,54.0,57.0,57.0,55.0,-3.71237683490951e-11,0.07734536670137444,0.00040448913757214276,0.07405482920334508,0.01933634166482521,0.019336341667300125,0.01933634168462455,0.01933634168462455
1513655897.81,54.0,57.0,57.0,55.0,0.003156395259644709,0.08050176199814292,0.0011527940504452313,0.07480313411621817,0.02012544049953573,0.02012544049953573,0.02012544049953573,0.02012544049953573
1513655898.01,54.0,57.0,57.0,55.0,-3.71237683490951e-11,0.07734536670137444,0.0011161974137736332,0.07476653747954658,0.019336341647500782,0.01933634168462455,0.01933634168462455,0.01933634168462455
1513655898.22,54.0,57.0,57.0,55.0,0.013290085422811163,0.09063545216130937,0.0004044891375759854,0.07405482920334892,0.022658863040327343,0.022658863040327343,0.022658863040327343,0.022658863040327343
1513655898.42,54.0,57.0,57.0,55.0,0.0060121814805551245,0.08335754821905333,0.0021957981953536765,0.07584613826112661,0.025348523165179677,0.01933634168462455,0.01933634168462455,0.01933634168462455
1513655898.62,54.0,57.0,57.0,55.0,0.04103313882005839,0.1183785055585566,0.00040448913757214276,0.07405482920334508,0.039852911094739915,0.01933634168462455,0.03985291109456758,0.01933634168462455
1513655898.82,54.0,57.0,57.0,55.0,0.003156395259644709,0.08050176199814292,0.0011527940504413887,0.07480313411621432,0.022249937308907196,0.01933634168462455,0.01957914131998662,0.01933634168462455
1513655899.02,54.0,57.0,57.0,55.0,-3.71237683490951e-11,0.07734536670137444,0.0015004620987616236,0.07515080216453456,0.019336341647500782,0.01933634168462455,0.01933634168462455,0.01933634168462455
1513655899.22,54.0,57.0,57.0,55.0,0.0063286120867278185,0.08367397882522602,0.0007319327287871804,0.07438227279456011,0.020918494706306506,0.020918494706306506,0.020918494706306506,0.020918494706306506
1513655899.42,54.0,57.0,57.0,55.0,0.022445477628390508,0.09979084436688872,0.000808978279667636,0.07445931834544058,0.031120217439539084,0.02999794355810053,0.01933634168462455,0.01933634168462455
1513655899.62,54.0,57.0,57.0,55.0,0.07967506911937114,0.15702043585786934,0.0015004620986970672,0.07515080216447001,0.03178557123477769,0.08656218125384255,0.01933634168462455,0.01933634168462455
1513655899.82,54.0,57.0,57.0,55.0,0.04939481758855425,0.12674018432705245,0.001816523960764242,0.07546686402653718,0.045427241731378055,0.04068344172288453,0.02129315918816531,0.01933634168462455
1513655900.02,54.0,57.0,57.0,55.0,-3.71237683490951e-11,0.07734536670137444,0.00040448913757214276,0.07405482920334508,0.019336341670391,0.019336341676717023,0.019336341669641866,0.01933634168462455
1513655900.22,54.0,57.0,57.0,55.0,0.036073089067990054,0.11341845580648827,0.0007685293654549356,0.07441886943122787,0.028354613951622067,0.028354613951622067,0.028354613951622067,0.028354613951622067
1513655900.42,54.0,57.0,57.0,55.0,0.003006090721179091,0.0803514574596773,0.0011527940503768322,0.07480313411614976,0.022342432405803643,0.01933634168462455,0.01933634168462455,0.01933634168462455
1513655900.62,54.0,57.0,57.0,55.0,-3.71237683490951e-11,0.07734536670137444,0.0011730185075542712,0.07482335857332721,0.01933634168462455,0.019336341647500782,0.01933634168462455,0.01933634168462455
1513655900.82,54.0,57.0,57.0,55.0,0.007014211733465835,0.08435957847196404,0.001152794050449074,0.07480313411622201,0.02108989461799101,0.02108989461799101,0.02108989461799101,0.02108989461799101
1513655901.02,54.0,57.0,57.0,55.0,0.033991949312549785,0.11133731605104799,0.004699778598798636,0.07835011866457157,0.05332829099717434,0.01933634168462455,0.01933634168462455,0.01933634168462455
1513655901.22,54.0,57.0,57.0,55.0,0.03607308906824257,0.11341845580674077,0.0042471359873290804,0.07789747605310202,0.05540943075286712,0.01933634168462455,0.01933634168462455,0.01933634168462455
1513655901.42,54.0,57.0,57.0,55.0,0.003322521327900998,0.0806678880663992,0.0018664284654184259,0.07551676853119137,0.02265886301252555,0.01933634168462455,0.01933634168462455,0.01933634168462455
1513655901.62,54.0,57.0,57.0,55.0,0.003156395259644709,0.08050176199814292,0.000768529365397296,0.07441886943117024,0.02249273694426926,0.01933634168462455,0.01933634168462455,0.01933634168462455
1513655901.82,54.0,57.0,57.0,55.0,0.10573816366226546,0.18308353040076367,0.001537058735371739,0.07518739880114468,0.01933634168462455,0.01933634168462455,0.12507450534689002,0.01933634168462455
1513655902.02,54.0,57.0,58.0,55.0,0.06613399665596155,0.14586505638408453,0.0011364218708788307,0.07524054833287347,0.03685421602504772,0.038635421403095865,0.05044265402391021,0.019932764932030746
